field_order,field_type,field_id,label,description,data_source,required,placeholder,options_type,default_value
1,markdown,header,,"## Top-Level Model Registration\n\nRegister a top-level Earth system model for CMIP7.\n\nFor CMIP7, this name will become the model's **source_id**.\n\nSee the [EMD Specification](https://wcrp-cmip.github.io/Essential-Model-Documentation/) for detailed guidance.",none,false,,,
2,input,name,Model Name,"The name of the top-level model.\n\nThis must be an existing source_id.",none,true,"e.g., HadGEM3-GC31-HH, CNRM-ESM2-1, CESM2",,
3,dropdown,family,Model Family,"The component's family name (if applicable).\n\n<collapse>A family of models share much of their code bases, but may be configured in different ways (e.g. different resolutions, parameter choices, or the inclusion or not of particular model components). See, for instance, [Masson and Knutti (2011)](https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011GL046864) for an example of how the family can be used to inform model genealogies.</collapse> or components.",model_family,false,,list_with_na,0
4,textarea,description,Scientific Description,"A scientific overview of the model.\n\n**Must mention ALL component types:**\n- Dynamic components: Brief high-level overview. Example: 'The model includes a global process-based model of the land surface and the terrestrial biosphere that calculates water, energy, and carbon fluxes between the surface and the atmosphere'\n- Prescribed components: Explain how they are treated. Example: 'The model requires that a monthly mean, zonally averaged ozone field be prescribed because the model does not include an interactive atmospheric chemistry component'\n- Omitted components: Note they are absent. Example: 'The model has no treatment of atmospheric chemistry.'",none,true,"Describe the model covering all component types (dynamic, prescribed, omitted)...",,
5,multi-select,dynamic_components,Dynamic Components,"Components that are dynamically simulated.\n\n**At least one required.**\n\nThese must be registered separately via Model Component template.",component,true,,list,
6,multi-select,prescribed_components,Prescribed Components,"Components represented with prescribed values (constant or time-varying inputs).\n\nLeave empty if none.",component,false,,list,
7,multi-select,omitted_components,Omitted Components,"Components wholly omitted from the model.\n\nLeave empty if none.",component,false,,list,
8,multi-select,calendar,Calendar,"Calendar(s) used by the model.\n\n**List most commonly used first.\n\nOnly the set of calendars that are adopted in CMIP7 simulations should be provided, identifying which calendar is most commonly used by listing it first.",calendar,true,,list,
9,input,release_year,Release Year,"Year the model was released or first used for published simulations.",none,true,"e.g., 2018",,
10,markdown,references_header,,"## References\n\nProvide DOI URLs  to published work for the top-level model as a whole.\n\nAll DOIs must be full URLs starting with https://doi.org/",none,false,,,
11,textarea,reference_dois,Reference DOIs,"Enter DOI URLs, one per line.",none,true,"https://doi.org/10.1234/example1\nhttps://doi.org/10.1234/example2",,
12,markdown,metadata_header,,"## Issue Handling Metadata\n\nThese options control how the submission is processed.",none,false,,,
13,dropdown,issue_kind,Issue Kind,Select whether this is a new submission or modification of existing entry.,issue_kind,true,,list_with_na,0
